gtin,title_kk,brand,ingredients,company_id,certificate_status,notes,off_query
7622210585633,Bonbons Oreo,Milka,"Zucker, pflanzliche Fette (Palm, Palmkern), Kakaobutter, MAGERMILCHPULVER, Süssmolkenpulver (aus MILCH), Kakaomasse, BUTTERREINFETT, WEIZENMEHL, Emulgator (SOJALECITHINE), HASELNUSSMASSE, fettarmes Kakaopulver (0,2 %), Glukose-Fruktose-Siru",,reference,open_food_facts,
7622210637990,Oreo,Oreo,"wal by %*/ soya recithins, acidity regulator (suurum vγειακή flavouring, may contain milk,cocoa biscuits filled with cream (32%) vanilla flavour, ingredients: wheat marina, sugar, palm fat, rapeseed oil, lean cocoa powder 4,1%, wheat starch",,reference,open_food_facts,
7622202252396,OREO 30/-,Oreo,,,reference,open_food_facts,
3040400220197,Donut,Oreo,"wheat flour, vegetable fats (palm, coconut, (in 
variable proportion)), sugar, small pieces of oreo cocoa biscuits (flour 
wheat: sugar, vegetable oils (palm, palm): lean cocoa powder, syrup 
glucose-fructose, wheat starch, baking powder",,reference,open_food_facts,
8410128670739,Milkshake oreo,Oreo,"Batido (95%) leche 2,0% M.G. (96%), azar, almidón modificado, cacao desgrasado en polvo, sal, esta ante: E-418 y aromas. Galleta de Cacao (5%): harina de trige car, aceite de nabina, cacao magro en polvo (6,5%), jarabe ucosa y fructosa, alm",,reference,open_food_facts,
7622210991889,MMMAX Oreo,Oreo,,,reference,open_food_facts,
0066721026594,Chocolate Sandwich Cookies,Oreo,"WHEAT FLOUR, SUGAR, MODIFIED PALM OIL, VEGETABLE OIL, COCOA, GLUCOSE-FRUCTOSE, WHEAT AND/OR CORN STARCH, SALT, SOY LECITHIN, BAKING SODA, AMMONIUM BICARBONATE, UNSWEETENED CHOCOLATE, ARTIFICIAL FLAVOUR.",,reference,open_food_facts,
6111031005200,6111031005200,Oreo,,,reference,open_food_facts,
7622210404000,Oreo original,Oreo,,,reference,open_food_facts,
9300650452705,OREO Original Choc Cookie Sandwich with Sweet Vanilla Creme,Oreo,"WHEAT FLOUR, SUGAR, VEGETABLE OIL, COCOA POWDER, FRUCTOSE SYRUP, CORNSTARCH, SALT, RAISING AGENTS (500, 503), EMULSIFIER (SOY LECITHIN), FLAVOUR, ANTIOXIDANT (319), MINERALS (IRON, ZINC) VITAMINS (RIBOFLAVIN, THIAMIN, FOLATE).",,reference,open_food_facts,
7622201388515,oreo,Oreo,"farina di frumento, zucchero, oli e grassi vegetali (olio di palma, burro di cacao), latte scremato in polvere, cacao magro in polvere, siero di latte in polvere, zucchero caramellato, sale, agenti lievitanti (carbonati di ammonio), aromi, ",,reference,open_food_facts,
6111031005228,oreo chocolat,Oreo,,,reference,open_food_facts,
7622210384362,Милка орео 300g,Oreo,"sugar, vegetable oils (palm, palm kernels), wheat flour, skimmed milk powder, whey/whey powder (from milk), cocoa butter, cocoa mass, milk fat, fat-reduced cocoa powder/cocoa powder with reduced cocoa butter content 1%, wheat starch/starch,",,reference,open_food_facts,
5413321002045,OREO muffin,Oreo,"Sucre,farine de blé, eau, huile végétales (tournesol, plame, colza (en proportion variable)); morceaux de biscuit cacao foncé (farine de blé, sucre, huiles végétales (colza, plame), cacao maigre en poudre, sirop de glucose-fructose, amidon ",,reference,open_food_facts,
7622210707253,Double Oreo,Oreo,"Sucre, farine de blé, huiles végétales (palme, palmiste), cacao maigre en poudre 3,6 %, amidon de blé, sirop de glucose-fructose, poudre à lever (carbonate acide de potassium, carbonate acide dlammonium, carbonate acide de sodium), sel, ému",,reference,open_food_facts,
7622210575399,Chopeo espacial,Oreo,,,reference,open_food_facts,
0019320001981,Chocolate Sandwich Cookies,Oreo,"UNBLEACHED ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE VITAMIN B1], RIBOFLAVIN (VITAMIN B2), FOLIC ACID), SUGAR, PALM OIL, SOYBEAN AND/OR CANOLA OIL, COCOA (PROCESSED WITH ALKALI), HIGH FRUCTOSE CORN SYRUP LEAVEN",,reference,open_food_facts,
7622201391306,OREO OREO REMIX FLAVOUR OREO UNLO ReMix TIRAMISU &,Oreo,"Suiker, TARWEBLOEM, palmolie, TARWEZETMEEL, koolzaadolie, wertangaben magere cacaopoeder 3,7 %, glucose-fructosestroop, rijsmiddelen (kaliumcarbonaten, 96/28,49 natriumcarbonaten, ammoniumcarbonaten), zout, emulgator (SOJALECITHINEN), gekar",,reference,open_food_facts,
7622210704742,Milka+oreo Riegel,Oreo,"2odker, pflanlidhe Fette Pain Butterreinfett fettarmes Kakaopulver (19% Weizenstärke inuigatoren mhydrosencarbonat, liatrumhydrogencarbonat, Speisesalz, Aromen Haselnss emefulung Nährwertinfomationen: siebe unter der LascheChocalat uit des ",,reference,open_food_facts,
7622201756743,Sandwich Biscuit,Oreo,"Refined Wheat Flour (Maida), Sugar, Fractionated Fat, Palmolein, Cocoa Solids (3%*), Invert Sugar, Leavening Agents (500(ii),503 (ii)), Starch, lodised Salt, Emulsifier (322), Nature Identical Flavouring Substances",,reference,open_food_facts,
7622201802024,Mini Oreo,Oreo,"wheat flour, sugar, palm oil, rapeseed oil, fat reduced cocoa powder 4,3 %, wheat starch, glucose-fructose syrup, raising agents (ammonium carbonates, potassium carbonates, sodium carbonates), salt, emulsifier (soya lecithins), acidity regu",,reference,open_food_facts,
6901668005896,Galleta de trigo sabor matcha,Oreo,"Oreo Cookie-Green Tea Ice Cream
Flavour with Sweeteners
Ingredients: Wheat Flour, Sugar,
Vegetable Oil, Sweeteners (E420
E968), Raising Agent (E500), Emulsifier
(E322 Soya Lecithin), Acidity
Regulators (E503, E330), Cocoa
Powder, Starch, Gr",,reference,open_food_facts,
4893049150012,Oreo baby monster original,Oreo,"_WHEAT_ FLOUR, SUGAR, PALM OIL, COCOA POWDER, FRUCTOSE SYRUP, SODIUM BICARBONATE 500ii, AMMONIUM BICARBONATE 503ii, CORNSTARCH, SALT, _SOY_ LECITHIN E322, VANILLA FLAVOR",,reference,open_food_facts,
7622201388685,Oreo Vanilla Latte,Oreo,"Sugar, WHEAT flour, palm oil, WHEAT starch, rapeseed oil, fat reduced cocoa powder 3.7 %, glucose-fructose syrup, raising agents (potassium carbonates, sodium carbonates, ammonium carbonates), salt, emulsifier (SOYA lecithins), caramelised ",,reference,open_food_facts,
7622202236918,Original Oreo,Oreo,"Refined Wheat Flour (Maida), Sugar, Fractionated Fat, Palmolein, Invert Sugar, Cocoa Solids (2%), Leavening Agents (500(ii), 503(ii)), Starch, lodised Salt, Emulsifier (322), Nature Identical Flavouring Substances. Allergen Information: Con",,reference,open_food_facts,
7622201123884,Crunchies original,Oreo,"Farine de BLÉ, sucre, huile de palme, huile de colza, amidon de BLÉ cacao maigre en poudre 4,5 %, sirop de glucose fructose, poudres à lever (carbonates d'ammonium, carbonates de potassium, carbonates de sodium), sel, émulsifiant (lecithine",,reference,open_food_facts,
7622210584519,golden,Oreo,"Farine de blé, sucre, huile de colza, huile de palmé, sirop de glucose-fructose, amidon de blé m, poudre à lever (carbonates de sodium, carbonates d'ammonium) sel, émulsifiants, (lécithines de soja, lecithines de tournesol), arômes",,reference,open_food_facts,
7622210309316,Орео,Oreo,"www.mdlz.ru Мнщевая ценцосте 63W36d / Qida deyer! Энергетическая ценность / Энергетикалых кундылыты / Energetik qiymati / 3606330N3IWI V0SRIWod/Eneridayari 100 rg/8/q 9,5rg/8/q 1988 кДж/kJ/38/KC | 189 кДж/kJ/33KC 473 ккал/kkal/33dW 45 ккал/",,reference,open_food_facts,
7622210766177,t ib oreo blag,Oreo,"wheat flour, sugar, palm oil, rapeseed oil, wheat starch, low-fat cocoa powder 4.7%, glucose-fructose syrup, raising agents (ammonium carbonates, potassium carbonates, sodium carbonates), salt, emulsifier (soy lecithin), acidity regulator (",,reference,open_food_facts,
7622300830151,Biscoito Original Batman Oreo Pacote 90g,Oreo,"ANUTRICIONAL: Porc�o de 30 g (3 biscoitos): Vator energetico 145 kcal =
oidratos 219(7 VD*), dos quais: Acucares 12 g (**): Proteinas 1,5 9
s 5.99 1 VD) Ges ouais: Corduras saturadas 1,7 g (8 % VD*):
industria Brasileira. Fabricado por: MON",,reference,open_food_facts,
7622201413705,Oreo Spooky - Sabor vainilla,Oreo,"Harina de _trigo_, azúcar, grasa de palma, aceite de nabina, cacao magro en polvo 4,3 %, almidón de _trigo_, jarabe de glucosa y fructosa, gasificantes (carbonatos de amonio, carbonatos de potasio, carbonatos de sodio), sal, emulgente (leci",,reference,open_food_facts,
0044000060130,Double stuff,Oreo,"Sugar, unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate [vitamin B1], riboflavin [vitamin B2], folic acid), palm oil, soybean and/or canola oil, cocoa (processed with alkali), high fructose corn syrup, leav",,reference,open_food_facts,
7622300442503,Oreo Blueberry Ice Cream,Oreo,"wheat flour, sugar, vegetable oil (palm), cocoa powder (3,9%), fructose syrup, raising agents (e500(ii), e503 (ii)), corn starch, dextrose, salt, emulsifier (soy lecithin), flavourings (ice-cream, blueberry, blackcurrant, vanilla), colour (",,reference,open_food_facts,
7622010001854,Oreo original,Oreo,"Wheat flour, sugar, palm oil, rapeseed oil, fat reduced cocoa powder 4,6 %,wheat starch, glucose-fructose syrup, raising agents | Sugars ( (potassium carbonates, ammonium carbonates, sodium carbonates), salt, emulsifiers (soya lecithin, sun",,reference,open_food_facts,
0044000069955,Oreo Snacksters,Oreo,"SUGAR, BLEACHED ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE (VITAMIN B1], RIBOFLAVIN (VITAMIN B2], FOLIC ACID), PALM OIL, FRUCTOSE, CORNSTARCH, WATER, COCOA (PROCESSED WITH ALKALI), SOYBEAN AND/OR CANOLA OIL, GLYC",,reference,open_food_facts,
0044000077088,Golden Gluten Free Oreo,Oreo,"SUGAR, WHITE RICE FLOUR, TAPIOCA STARCH, PALM OIL, SOYBEAN AND/OR CANOLA OIL, WHOLE DAT FLOUR, CORN STARCH, INVERT SUGAR, SALT, XANTHAN GUM, BAKING SODA, SOY LECITHIN, NATURAL AND ARTIFICIAL FLAVOR",,reference,open_food_facts,
0066721028927,Oreo à l'érable,Oreo,"sucres, farine de blé, huile de palme modifié, huile végétale, amidon de maïs, sel, bicarbonate de sodium, lécithine de soja, arômes naturels et artificiel, tartrazine, jaune soleil FCF, Bleu brillant FCF.",,reference,open_food_facts,
7622201820279,Biscuit,Oreo,"Farine de BLÉ, sucre, huile de palme, huile de colza, amidon de BLÉ, cacao maigre en poudre 4,7%, sirop de glucose-fructose, poudres à lever (carbonates d'ammonium, carbonates de potassium, carbonates de sodium), sel, émulsifiant (lécithine",,reference,open_food_facts,
4892642101922,Oreo chocolate,Oreo,"Wheat flour, sugar, palm oil, INS 319, cocoa powder, fructose syrup, INS 500(i), INS 503(ii), corn starch, salt, INS 322, flavoring",,reference,open_food_facts,
0044000081425,Oreo Loaded,Oreo,"SUGAR, UNBLEACHED ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE [VITAMIN B1], RIBOFLAVIN [VITAMIN B2], FOLIC ACID), PALM OIL, CORNSTARCH, SOYBEAN AND/OR CANOLA OIL, DEXTROSE, COCOA (PROCESSED WITH ALKALI), HIGH FRU",,reference,open_food_facts,
7622210544928,Milka Oreo White,Milka,"Zahăr, ulei de palmier, unt de cacao, zer praf (din lapte), lapte praf degresat, făină de grâu, grăsime din lapte, cacao cu conținut redus de grăsime (0,7%), sirop de glucoză-fructoză, emulsifiant (lecitine din soia), amidon din grâu, agenț",,reference,open_food_facts,
5010029227044,Oreo O's,Oreo,"Cereal Flours (66%) (WHEAT, Rice), Sugar, Fat Reduced Cocoa Powder, Oreo Crumb (2.8%) (WHEAT Flour, Sugar, Rapeseed Oil, Fat Reduced Cocoa Powder, Glucose Fructose Syrup, WHEAT Starch, Raising Agents (Potassium Carbonate, Ammonium Carbonate",,reference,open_food_facts,
7622300722199,Galletas Oreo 126 GR,Oreo,,,reference,open_food_facts,
7622210785145,Oreo cake,Oreo,"Gâteau au cacao avec remplissage au goût vanille (sucre, farine de blé, huile de palme, œuf, sirop de glucose, humectant (E422), poudre de cacao, lait écrémé en poudre, poudres à lever (E450, E500), correcteurs d'acidité (E330, E262, E260),",,reference,open_food_facts,
7622210835334,Choco Brownie,Oreo,"Farina di FRUMENTO, zucchero, olio di palma, olio di colza, cacao magro in polvere 6,5%, amido di FRUMENTO, sciroppo di glucosio-fruttosio, agenti lievitanti (carbonati di potassio, carbonati di ammonio, carbonati di sodio), sale, emulsiona",,reference,open_food_facts,
7622210635105,OREO,Oreo,"wheat flour, sugar, palm oil, rapeseed oil, fat reduced cocoa powder 4,5 %, wheat starch, glucose-fructose syrup, raising agents (potassium carbonates, ammonium carbonates, sodium carbonates), salt, emulsifiers (soya lecithin, sunflower lec",,reference,open_food_facts,
7622201757210,Original Oreo,Oreo,"Refined Wheat Flour (Maida), Sugar, Fractionated Fat, Palmolein, Invert Sugar, Cocoa Solids (2%), Leavening Agents (500(ii), 503(ii)), Starch, lodised Salt, Emulsifier (322), Nature Identical Flavouring Substances. Allergen Information: Con",,reference,open_food_facts,
7622300761347,Oreo Mini Stuffed With Vanilla Cream Cookies imp,Oreo,Energi dari Lemak/Energy from Fat INFORMASI NILAI GIZI/NUTRITION INFORMATION 「Takaran Saji/Serving Size 20.4g (7 Sandwich/Sandwiches) 3 Saian per Kemasan/Servings per Pack 3 JUMLAH PER SAJIAN/AMOUNT PER SERVING Energi Total/Total Energy Per,,reference,open_food_facts,
0066721026600,Chocolate Sandwich Cookies,Oreo,"sugars (sugar, glucose-fructose), wheat flour, modified palm oil, vegetable oil, cocoa, wheat and/or corn starch, salt, soy lecithin, baking soda, ammonium bicarbonate, unsweetened chocolate, artificial flavour. contains: wheat, soy. ingréd",,reference,open_food_facts,
7622201391272,Oreo Remix - Tiramisu & Vanilla Flavour,Oreo,"Zucker, WEIZENMEHL, Palmöl, WEIZENSTÄRKE, Rapsöl, fettarmes Kakaopulver 3,7%, Glukose-Fruktose-Sirup, Backtriebmittel (Kaliumcarbonate, Natriumcarbonate, Ammoniumcarbonate), Speisesalz, Emulgator (SOJALECITHINE), karamellisierter Zucker, Sä",,reference,open_food_facts,
5060811383249,Grenade Carb Killa,Oreo,"Protein Blend (Calcium Caseinate (Milk), Whey Protein Isolate (Milk)), Milk Chocolate with Sweetener (20%) (Sweetener: Maltitol, Cocoa Butter, Whole Milk Powder, Cocoa Mass, Emulsifier: Soy Lecithin, Natural Flavouring), Bovine Collagen Hyd",,reference,open_food_facts,
7622201402684,Oreo Dutch Cocoa Wafer,Oreo,"sugar, wheat flour, palm oil, cocoa powder (3,5%), corn starch, emulsifier (e322 (soy)), salt, whey (milk), raising agent (e500(ii)), vanilla flavouring,",,reference,open_food_facts,
0044000006804,mini,Oreo,"UNBLEACHED ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE {VITAMIN B1}, RIBOFLAVIN {VITAMIN B2}, FOLIC ACID), SUGAR, PALM OIL, CANOLA OIL, DEXTROSE, COCOA PROCESSED WITH ALKALI, HIGH FRUCTOSE CORN SYRUP, LEAVENING (",,reference,open_food_facts,
0044000060246,Golden Double Stuf Oreo,Oreo,"Sugar, unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate (vitamin B1), riboflavin (vitamin B2), folic acid), palm oil, soybean and/or canola oil, high fructose corn syrup, salt, baking soda, soy lecithin, na",,reference,open_food_facts,
7622202045617,Oreo Gingerbread,Oreo,"_vetemjöl_, socker, rapsolja, palmolja, _vetestärkelse_, glukos-fruktossirap, färgämne (sockerkulör), bakpulver (natriumkarbonater, ammoniumkarbonater), salt, emulgeringsmedel (_sojalecitiner_), aromer, kanelpulver.",,reference,open_food_facts,
0044000014733,WHITE FUDGE COVERED SANDWICH COOKIES,Oreo,"Sugar, unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate {vitamin b1}, riboflavin {vitamin b2}, folic acid), palm kernel oil, palm oil, milk, cocoa (processed with alkali), high fructose corn syrup, nonfat m",,reference,open_food_facts,
7622300337894,Oreo Original,Oreo,,,reference,open_food_facts,
8051369003795,OREO ICE CREAM MINI SANDWICHES,Oreo,,,reference,open_food_facts,
3168930002987,Cuites au four nature,Lay's,"Flocons de pommes de terre (65%),amidon,huile de tournesol,sucre,base aromatisante sel de mer (sel de mer, arômes),émulsifiant (lécithine de tournesol),colorant (norbixine de rocou)",,reference,open_food_facts,
3168930168131,Chips recette paysanne nature,Lay's,"Pommes de terre (65%),huiles végétales (tournesol, colza, maïs en proportion variable),sel",,reference,open_food_facts,
3168930167983,Pomme de terre nature,Lay's,"Pommes de terre (66%),huiles végétales (tournesol, colza, maïs en proportion variable),sel",,reference,open_food_facts,
3168930171737,Chips nature,Lay's,"Pommes de terre (65%),huiles végétales (tournesol, colza, maïs en proportion variable),sel",,reference,open_food_facts,
3168930168195,Chips paysanne nature,Lay's,"Pommes de terre (65%),huiles végétales (tournesol, colza, maïs en proportion variable),sel",,reference,open_food_facts,
3168930174558,chips saveur barbecue,Lay's,"Pommes de terre (62%), huiles végétales (tournesol, colza), base aromatisante barbecue (sucre, arôme, paprika en poudre, protéine de maïs hydrolysée, dextrose, oignon en poudre, chlorure de potassium, farine de riz, sel, tomate en poudre, a",,reference,open_food_facts,
3168930171685,Lays,Lay's,"pommes de terre (65%), hiules vegetales (tournesol, colza en proportion variable), sel, antioxydants (extraits de romarin, acide ascorbique, extrait riche en tocopherols, acide citrique).",,reference,open_food_facts,
3168930000998,3D's Bugles goût nature,Lay's,"corn flour, sunflower oil (31%), aroma, salt [flavourings, wheat flour ( wheat ), flavour enhancers (monosodium glutamate, guanylate disodium, inosinate disodium salt), paprika extract], sugar, salt,",,reference,open_food_facts,
3168930174585,Chips  barbecue,Lay's,"Pommes de terre (62%), huiles végétales (tournesol, colza en proportion variable), base aromatisante barbecue [sucre, arôme, paprika en poudre, protéine de maïs hydrolysée, dextrose, oignon en poudre, chlorure de potassium, farine de riz, s",,reference,open_food_facts,
3168930168043,Recette à l'ancienne,Lay's,"Pommes de terre (66%),huiles végétales (tournesol, colza, maïs en proportion variable),sel",,reference,open_food_facts,
3168930175186,Chips saveur poulet rôti,Lay's,"pommes de terre, huiles végétales (tournesol, colza en proportion variable), sucre, chlorure de potassium, sel, arômes, oignon en poudre, sauge, acidifiant (acide citrique), colorant (extrait de paprika), antioxydants (extraits de romarin, ",,reference,open_food_facts,
3168930167929,Lay's Paysanne saveur oignons de Roscoff caramélisé,Lay's,"Pommes de terre (63%),huiles végétales (tournesol, colza, maïs en proportion variable),base aromatisante oignon de Roscoff caramélisé [farine de BLÉ, sucre, poudre de babeurre (LAIT), arôme naturel, acidifiant (acide lactique), sel, poudre ",,reference,open_food_facts,
3168930000970,3D's Bugles goût fromage,Lay's,"Farine de maïs,huile de tournesol,base aromatisante fromage [arômes, poudre de fromage (LAIT), ail et oignon en poudre, exhausteurs de goût (glutamate monosodique, guanylate disodique, inosinate disodique), chlorure de potassium, poudre de ",,reference,open_food_facts,
3168930001915,Lay's 3D's Bugles goût cacahuète,Lay's,"Farine de maïs,huile de tournesol ,CACAHUÈTES (10%),base aromatisante cacahuète [arômes (contiennent ORGE, BLÉ, NOISETTE, LAIT), farine de BLÉ, exhausteur de goût (glutamate monosodique), poudre de cacao, colorant (extrait de paprika)],sucr",,reference,open_food_facts,
8410199002406,Horno Al punto de sal,Lay's,"Copos de patata (65%), almidón, aceite de girasol, azúcar, aroma a sal marina [sal marina (0,5%), sal (0,3%), aromas], emulgente (lecitina de girasol), colorante (norbixina de bija).",,reference,open_food_facts,
8410199023092,Gourmet Original,Lay's,"Patatas, aceite de girasol, sal.",,reference,open_food_facts,
8901491101842,Lay's Potato Chips,Lay's,"potato, edible vegetable oil (sunflower oil, corn oil, and/or canola oil), spices and condiments (onion powder, chilli powder, dry mango powder, coriander powder, ginger powder, garlic powder, black pepper powder, turmeric powder, cumin pow",,reference,open_food_facts,
3168930175122,Lay’s saveur emmental,Lay's,"Pommes de terre (62%), huiles végétales (tournesol, colza en proportion variable), base aromatisante emmental [poudre de petit-lait, chlorure de potassium, sucre, sel, arôme (dont lait), fromage en poudre (lait), colorant (extrait de paprik",,reference,open_food_facts,
3168930000101,Chips saveur barbecue,Lay's,"Pommes de terre,huiles végétales (tournesol, colza, maïs, en proportion variable),base aromatisante barbecue [sucre, arôme (dont SOJA), paprika, poudre d'oignon, poudre de tomate, poudre d'ail, correcteurs d'acidité (acide citrique, acide m",,reference,open_food_facts,
3168930000989,Lay's 3D's Bugles goût bacon,Lay's,"corn flour, sunflower oil (31 %), basic flavouring bacon [flavourings (contains soya , wheat ), flavour enhancers (monosodium glutamate, 5'-ribonucleotide disodium salt), hydrolyzed vegetable protein (wheat, soy , celery ), dextrose ( wheat",,reference,open_food_facts,
3168930175159,Chips Saveur Paprika,Lay's,"Pommes de terre (62%), huiles végétales (tournesol, colza en proportion variable), base aromatisante paprika [sucre, paprika en poudre, sel, chlorure de potassium, oignon en poudre, arômes, fructose, ail en poudre, colorant (extrait de papr",,reference,open_food_facts,
8901491101833,Lays Classics Salted 20rs,Lay's,"Potato, Edible Vegetable Oil

(Palmolein Oil), &quot;Seasoning (Maltodextrin, lodised Salt, &quot;Spices & Condiments, Sugar, Flavour (Natural and Nature Identical Flavouring Substances), Anticaking Agent (551), Flavour Enhancers (627, 631)",,reference,open_food_facts,
3168930169316,Lay's Recette à l'ancienne nature,Lay's,"Pommes de terre (66%),huiles végétales (tournesol, colza, maïs en proportion variable),sel",,reference,open_food_facts,
3168930168229,Lay's Recette paysanne nature 295 g + 10% offert,Lay's,"Pommes de terre (65%),huiles végétales (tournesol, colza, maïs en proportion variable),sel",,reference,open_food_facts,
3168930175326,Chips Saveur Sel & Vinaigre,Lay's,"Pommes de terre (63%), huiles végétales (tournesol, colza en proportion variable), base aromatisante,  sel , vinaigre [arômes, acidifiants (acide citrique, acide malique), chlorure de potassium, sel, dextrose, sucre, extrait de levure, anti",,reference,open_food_facts,
8901491503059,West Indies' Hot 'n' Sweet Chilli Potato Chips,Lay's,"Potato, Edible Vegetable Oil (Palmolein Oil), *Seasoning (Sugar, Maltodextrin, lodised Salt, Flavour (Natural and Nature Identical Flavouring Substances), &quot;Spices & Condiments, Flavour Enhancers (627 & 631), Edible Vegetable Oil (Palm,",,reference,open_food_facts,
8710398160829,Oven baked original chips,Lay's,"Aardappelvlokken (65%), zetmeel (14%), zonnebloemolie, suiker, zeezout smaak (zeezout, zout, aroma's), emulgator (lecithinen), kleurstof (annatto norbixin),",,reference,open_food_facts,
3168930007159,Lay's 3D's Bugles goût fromage format familial,Lay's,"Farine de maïs,huile de tournesol,base aromatisante fromage [arômes, poudre de fromage (LAIT), ail et oignon en poudre, exhausteurs de goût (glutamate monosodique, guanylate disodique, inosinate disodique), chlorure de potassium, poudre de ",,reference,open_food_facts,
4062139005860,Lays Salted Chips,Lay's,"potatoes, vegetable oils (maize, sunflower, rapeseed in variable proportions by weight), salt,",,reference,open_food_facts,
3168930176325,Paysanne saveur sel et vinaigre de cidre de Normandie.,Lay's,"Pommes de terre (65%), huiles végétales (tournesol, maïs, colza en proportion variable), base aromatisante sel et vinaigre de cidre de Normandie [vinaigre de cidre de Normandie en poudre, sel, arôme naturel, sucre, vinaigre d'alcool en poud",,reference,open_food_facts,
3168930176352,"Chips paysanne saveur poulet, moutarde et miel",Lay's,"Pommes de terre (65%), huiles végétales (tournesol, mais, colza en proportion variable), base aromatisante poulet moutarde de Dijon et miel [sucre, farine de riz, extrait de levure, chlorure de potassium, vinaigre d'alcool en poudre, miel e",,reference,open_food_facts,
3168930007900,Fritelle goût nature,Lay's,"farine de maïs, granules de pommes de terre ( 29%), huile de colza, base aromatisante, sel, arômes, glutamate monosodique, guanylate disodique, inosinate disodique, sucre, extrait de paprika",,reference,open_food_facts,
0028400090858,Classic Potato Chips,Lay's,"pasteurized milk, cheese cultures, salt, microbial enzymes, annatto color",,reference,open_food_facts,
8901491503022,Lays India's Magic Masala,Lay's,"Potato (83%), Edible Vegetable Oil, *Seasoning (Spices and condiments, Maltodextrin, lodised Salt, Sugar, Flavour (Natural and Nature Identical Flavouring Substances), Edible Vegetable Oil (Sunflower Oil, Palm Oil), Flavour Enhancers (627, ",,reference,open_food_facts,
3168930171764,Chips nature,Lay's,"Pommes de terre (65%),huiles végétales (tournesol, colza, maïs en proportion variable),sel",,reference,open_food_facts,
8410199030904,3D's Bugles,Lay's,"Sémola de maíz (70%), aceites vegetales (maíz y girasol en proporciones variables), aroma a queso y bacon [suero de leche en polvo, sal, queso en polvo (de leche), aromas (contiene leche), potenciadores del sabor (glutamato monosódico, guan",,reference,open_food_facts,
3168930171816,Lay's Nature 6 x 25 g,Lay's,"Pommes de terre (65%),huiles végétales (tournesol, colza, maïs en proportion variable),sel",,reference,open_food_facts,
5941000032190,Lay's Rumeniți În Cuptor Sare,Lay's,"Fulgi din cartofi (61%), amidon, ulei de rapiță, zahăr, emulsifianți (lecitină, mono - şi digliceride ale acizilor graşi), sare de mare (0,48%), sare (0,32%), arome, dextroză, corector de aciditate (acid citric). Poate conţine grâu.",,reference,open_food_facts,
8901491504784,West Indies hotn sweet chilli,Lay's,"Potato, Edible Vegetable Oil (Palmolein, Sunflower Oil), Sugar, Maltodextrin, Iodised Salt, Natural and Nature Identical Flavouring Substances, Spices ,  Condiments, Flavour Enhancers (627 ,  631), Edible Vegetable Oil (Palm, Sunflower, Pea",,reference,open_food_facts,
8710398532248,SE Lays Paprika Flavour,Lay's,Lay's Paprika Flavour MAX PRIKA VA PA NUTRI,,reference,open_food_facts,
3168930008121,Lay's saveur spicy,Lay's,"potatoes 61%, vegetable oils (sunflower, rapeseed, in variable proportion), base flavouring cream and spices [sugar, flavourings (with milk ), cream powder (from milk ), whey powder, spices (including chili powder), correctors of acidity (d",,reference,open_food_facts,
0028400183820,Baked Original,Lay's,"Dried potatoes, olive oil, corn starch, sugar, sea salt, soy lecithin, dextrose, and annatto extract (color)",,reference,open_food_facts,
8710398160856,oven mediterranean herbs,Lay's,"Aardappelvlokken (63%), zetmeel (14%), zonnebloemolie, zout, specerijen en kruiden (bevat ui, basilicum, knoflook, tijm, mediterraanse kruidensmaak [weipoeder (bevat melk), aroma's (bevat peterselie, rozemarijn), kaliumchloride, suiker, kle",,reference,open_food_facts,
3168930167956,Lay's Paysanne saveur fromage frais ail de Garonne et fines herbes,Lay's,"Pommes de terre (63%),huiles végétales (tournesol, colza, maïs en proportion variable),base aromatisante fromage frais ail de Garonne et fines herbes [poudre de petit-LAIT, sel, ail de Garonne en poudre, fromage en poudre (LAIT), crème frai",,reference,open_food_facts,
3168930177643,Chips saveur paysanne tapenade,Lay's,"Pommes de terre, huiles végétales (tournesol, colza en proportion variable), base aromatisante tapenade [farine de riz, sucre, sel de mer, ail en poudre, extrait de levure, chlorure de potassium, tomate en poudre, extrait de champignon, pap",,reference,open_food_facts,
8410199023074,Sabor Campesinas,Lay's,"Patatas fritas con condimento preparado de vegetales y especias Ingredientes: patatas, aceites vegetales (girasol y colza en proporciones variables), aroma a vegetales y especs [azúcar, aromas, sal, cebolla en polvo, cloruro de potasio, pim",,reference,open_food_facts,
3168930168283,Recette à l’Ancienne,Lay's,"Pommes de terre (66%),huiles végétales (tournesol, colza, maïs en proportion variable),sel",,reference,open_food_facts,
3168930174983,Chips Saveur Barbecue,Lay's,"Pommes de terre (62%), huiles végétales (tournesol, colza, maïs en proportion variable), base aromatisante barbecue [sucre, sel, arôme (dont soja), paprika en poudre, dextrose, oignon en poudre, tomate en poudre, ail en poudre, correcteurs ",,reference,open_food_facts,
